number,value,datetime_start,datetime_complete,duration,params_dropout,params_freeze,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
0,38.7654177338869,2026-03-13 15:18:01.389301,2026-03-13 15:19:00.817700,0 days 00:00:59.428399,0.5220342071746982,True,128,0.0001762593741917075,1,0.005626505376369263,COMPLETE
1,42.7827436342589,2026-03-13 15:19:00.821703,2026-03-13 15:20:32.939636,0 days 00:01:32.117933,0.41288007719370906,True,128,0.00012946613161205967,2,0.00013458573038780083,COMPLETE
2,41.54268948513932,2026-03-13 15:20:32.939636,2026-03-13 15:21:47.483949,0 days 00:01:14.544313,0.30233187044939464,True,64,0.000340274766036126,1,0.004657614701534449,COMPLETE
3,47.84368195129352,2026-03-13 15:21:47.483949,2026-03-13 15:24:34.196784,0 days 00:02:46.712835,0.3556328391563376,True,256,0.0003319897274854814,1,0.0005009189719045766,COMPLETE
4,49.9703871036768,2026-03-13 15:24:34.212571,2026-03-13 15:26:30.077482,0 days 00:01:55.864911,0.5841896940211071,True,256,0.001905252405739681,1,0.00012391565465804007,COMPLETE
5,50.181111700244955,2026-03-13 15:26:30.077482,2026-03-13 15:28:26.863605,0 days 00:01:56.786123,0.4108302854719097,False,128,0.00014781928461989548,1,0.0005561805358563895,COMPLETE
6,44.37550614773493,2026-03-13 15:28:26.879475,2026-03-13 15:30:31.084804,0 days 00:02:04.205329,0.5856636286607907,True,256,0.00039057211919247533,1,0.0010863187793673183,COMPLETE
7,47.219594464359425,2026-03-13 15:30:31.084804,2026-03-13 15:32:49.815986,0 days 00:02:18.731182,0.48290460123133955,False,256,0.001977518286221775,1,0.0023903660656107656,COMPLETE
8,51.70839399274322,2026-03-13 15:32:49.815986,2026-03-13 15:37:10.069682,0 days 00:04:20.253696,0.29417878305281575,True,256,0.002231438315604348,2,1.7079493062861827e-05,COMPLETE
9,38.92703927157525,2026-03-13 15:37:10.069682,2026-03-13 15:38:16.268001,0 days 00:01:06.198319,0.42181209705620804,True,64,0.0007062419322792626,1,0.004816242376221672,COMPLETE
10,50.18962303362841,2026-03-13 15:38:16.283994,2026-03-13 15:42:08.775445,0 days 00:03:52.491451,0.20535790790873126,False,256,0.00750895870271464,2,1.3278795529311677e-05,COMPLETE
11,50.25959770574134,2026-03-13 15:42:08.775445,2026-03-13 15:44:06.233137,0 days 00:01:57.457692,0.20471516367238277,False,256,0.009558061580285798,2,1.0089682819083565e-05,COMPLETE
12,50.327968757055274,2026-03-13 15:44:06.233137,2026-03-13 15:48:27.630351,0 days 00:04:21.397214,0.20049498454071388,False,256,0.009673424470920115,2,1.1584497673477291e-05,COMPLETE
13,49.38616862104874,2026-03-13 15:48:27.646244,2026-03-13 15:50:23.824245,0 days 00:01:56.178001,0.27498165150424647,False,256,0.00430592879635559,2,2.940586628909215e-05,COMPLETE
14,51.270384517086434,2026-03-13 15:50:23.824245,2026-03-13 15:53:49.515717,0 days 00:03:25.691472,0.27854955482320476,False,256,0.0035283707590721127,2,4.3875213483312594e-05,COMPLETE
15,51.190574869693386,2026-03-13 15:53:49.531573,2026-03-13 15:55:15.033094,0 days 00:01:25.501521,0.2937303863304091,False,64,0.0026622613446383742,2,4.855919325335045e-05,COMPLETE
16,52.343748634305356,2026-03-13 15:55:15.033094,2026-03-13 15:59:18.557153,0 days 00:04:03.524059,0.348870262116043,True,256,0.003934370254097712,2,5.879030797031409e-05,COMPLETE
17,50.90036506286818,2026-03-13 15:59:18.560682,2026-03-13 16:04:12.987030,0 days 00:04:54.426348,0.3580296932162571,True,256,0.001003295775001045,2,0.00011195517401091177,COMPLETE
18,51.951501780509304,2026-03-13 16:04:12.991613,2026-03-13 16:06:00.077140,0 days 00:01:47.085527,0.3471140649156539,True,128,0.0012965579736912813,2,2.547027504310081e-05,COMPLETE
19,49.27194212012477,2026-03-13 16:06:00.081662,2026-03-13 16:07:05.996145,0 days 00:01:05.914483,0.35629214922511426,True,128,0.0012141016757042822,2,0.00026235004059149865,COMPLETE
20,50.5482698836141,2026-03-13 16:07:05.999657,2026-03-13 16:08:12.284067,0 days 00:01:06.284410,0.49605067399510916,True,128,0.004883337617384685,2,6.44125020073829e-05,COMPLETE
21,51.327548486506494,2026-03-13 16:08:12.288728,2026-03-13 16:09:44.309307,0 days 00:01:32.020579,0.3324036887150041,True,128,0.0014283118299712703,2,2.3396418933578804e-05,COMPLETE
22,52.525014879420894,2026-03-13 16:09:44.313306,2026-03-13 16:11:04.457902,0 days 00:01:20.144596,0.25562306762754566,True,128,0.002494998277098372,2,2.3371875941792994e-05,COMPLETE
23,51.887126688373606,2026-03-13 16:11:04.462113,2026-03-13 16:13:19.236487,0 days 00:02:14.774374,0.24715920815974135,True,128,0.00346141079521103,2,3.066249177429977e-05,COMPLETE
24,49.67543318109905,2026-03-13 16:13:19.240512,2026-03-13 16:15:34.765823,0 days 00:02:15.525311,0.24373297552247755,True,128,0.0005251756978963862,2,8.521140965771146e-05,COMPLETE
25,48.95831103261153,2026-03-13 16:15:34.769820,2026-03-13 16:16:50.537972,0 days 00:01:15.768152,0.38134422137766333,True,128,0.006203964287493787,2,0.00019818876668573147,COMPLETE
26,52.50520190536019,2026-03-13 16:16:50.542970,2026-03-13 16:19:04.853260,0 days 00:02:14.310290,0.45047627394633016,True,128,0.000766718714423166,2,2.0914187945627533e-05,COMPLETE
27,49.553553845215845,2026-03-13 16:19:04.858260,2026-03-13 16:20:13.652920,0 days 00:01:08.794660,0.4738525298866854,True,64,0.0026916673776266773,2,4.351697142736366e-05,COMPLETE
28,49.28572110786133,2026-03-13 16:20:13.657387,2026-03-13 16:21:52.949223,0 days 00:01:39.291836,0.45086485433061435,True,128,0.0007978787603186296,2,1.8558269006874594e-05,COMPLETE
29,47.89528088534477,2026-03-13 16:21:52.952462,2026-03-13 16:24:07.196957,0 days 00:02:14.244495,0.5242899685092763,True,128,0.00022901220037994892,2,6.8546153383481e-05,COMPLETE
