epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.1978,55.01,1.0846,49.66,43.81
2,1.0672,60.53,1.0295,59.58,48.45
3,1.0426,61.7,1.0203,61.17,47.33
4,1.0248,62.29,1.0004,62.55,48.67
5,1.0108,62.45,0.9959,63.61,50.86
6,1.0032,62.94,0.9969,65.39,48.96
7,0.9969,62.96,0.9961,67.1,49.55
8,0.9875,63.22,0.9997,63.68,47.37
9,0.9639,63.83,0.9871,68.05,52.61
10,0.956,64.09,0.9769,64.01,50.91
11,0.9471,63.97,0.984,66.55,53.13
12,0.9399,64.2,0.9807,66.57,51.86
13,0.9329,64.35,0.9981,66.25,51.09
14,0.9247,64.35,0.9896,66.32,50.24
15,0.9017,64.82,0.99,63.71,51.19
16,0.8944,64.93,1.0021,66.81,52.04
