epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.1822,53.71,0.9843,67.43,51.77,0.002494998277098372
2,0.9901,63.73,0.9434,66.03,51.45,0.002494998277098372
3,0.95,65.1,0.9431,67.44,54.5,0.002494998277098372
4,0.9307,65.85,0.917,67.95,53.81,0.002494998277098372
5,0.9138,66.18,0.9077,71.74,55.26,0.002494998277098372
6,0.8994,66.66,0.902,70.76,56.18,0.002494998277098372
7,0.8906,67.11,0.9035,67.27,52.69,0.002494998277098372
8,0.8794,67.1,0.8943,68.79,54.36,0.002494998277098372
9,0.87,67.37,0.8946,70.34,54.9,0.001247499138549186
10,0.8392,68.0,0.8907,70.46,54.94,0.001247499138549186
11,0.8319,68.05,0.8889,66.72,54.94,0.001247499138549186
